Kode_Kab;Kabupaten;Provinsi;PE;TPAK;RASIOPUSKES;RASIOSMA;AHH;HLS;RLS;PENG
ID5201;Lombok Barat;NTB;3,4;70,48;,118644;,099099;67,19;13,95;6,42;11334
ID5202;Lombok Tengah;NTB;4,03;75,05;,163842;,174174;66,38;13,85;6,29;9962
ID5203;Lombok Timur;NTB;3,12;69,48;,19774;,207207;66,16;13,9;6,71;9450
ID5204;Sumbawa;NTB;1,87;66,86;,146893;,084084;67,73;13,07;8,15;9167
ID5205;Dompu;NTB;1,68;67,56;,056497;,078078;66,99;13,53;8,72;8899
ID5206;Bima;NTB;1,79;71,65;,118644;,162162;66,5;13,39;7,91;8495
ID5207;Sumbawa Barat;NTB;,33;71,02;,050847;,027027;68,31;13,64;8,72;11548
ID5208;Lombok Utara;NTB;1,38;73,43;,045198;,039039;67,36;12,76;6,04;957
ID5271;Kota Mataram;NTB;3,27;65,61;,062147;,084084;71,88;15,64;9,54;14999
ID5272;Kota Bima;NTB;2,08;75,46;,039548;,045045;70,5;15,04;10,65;11135
ID5301;Sumba Barat;NTT;1,03;74,14;,021739;,015517;67,12;13,12;6,84;7307
ID5302;Sumba Timur;NTT;1,05;72,39;,05314;,039655;65,16;12,83;7,32;9354
ID5303;Kupang;NTT;2,57;73,76;,060386;,106897;64,91;13,86;7,39;7476
ID5304;Timor Tengah Selatan;NTT;2,41;78,59;,089372;,081034;66,46;12,58;6,74;6839
ID5305;Timor Tengah Utara;NTT;2,31;78,41;,062802;,051724;67,09;13,32;7,96;6324
ID5306;Belu;NTT;1,75;70,81;,033816;,043103;64,89;12,28;7,36;7431
ID5307;Alor;NTT;2,5;72,4;,062802;,062069;61,64;12,24;8,42;6751
ID5308;Lembata;NTT;1,53;68,24;,024155;,024138;67,2;12,43;8,23;7257
ID5309;Flores Timur;NTT;,55;71,8;,050725;,041379;65,31;12,92;7,72;7578
ID5310;Sikka;NTT;1,98;73,92;,060386;,041379;67,45;13,43;6,95;8021
ID5311;Ende;NTT;2,13;77,57;,060386;,036207;65,43;13,79;8,03;9027
ID5312;Ngada;NTT;1,11;72,49;,048309;,031034;68,12;12,71;8,53;8819
ID5313;Manggarai;NTT;,92;77,6;,060386;,046552;67,11;13,69;7,61;7133
ID5314;Rote Ndao;NTT;2,08;74,16;,028986;,024138;64,88;13,19;7,71;6503
ID5315;Manggarai Barat;NTT;1,29;73,18;,05314;,053448;67,46;12,29;7,56;7410
ID5316;Sumba Tengah;NTT;1,41;69,12;,021739;,006897;68,42;13,04;6,47;6061
ID5317;Sumba Barat Daya;NTT;2,08;83,33;,038647;,044828;68,57;13,07;6,35;6355
ID5318;nagekeo;NTT;1,95;67,19;,019324;,025862;67,25;12,49;7,9;8254
ID5319;Manggarai Timur;NTT;2,29;81,95;,062802;,07931;68,07;12,26;7,35;5780
ID5320;Sabu Raijua;NTT;1,55;68,82;,012077;,013793;60,66;13,15;6,66;5256
ID5321;Malaka;NTT;1,92;70,1;,043478;,058621;65,01;12,79;7,1;5861
ID5371;Kota Kupang;NTT;1,1;62,34;,031401;,072414;69,73;16,41;11,6;13218
ID6101;Kabupaten Sambas;Kalimantan Barat;2,73;72,84;,114754;,080357;69,08;13;6,72;9828
ID6102;Kabupaten Bengkayang;Kalimantan Barat;2,22;70,16;,069672;,066964;73,84;12;6,8;9193
ID6103;Kabupaten Landak;Kalimantan Barat;3,75;70,19;,065574;,100446;73,04;12;7,12;7431
ID6104;Kabupaten Mempawah;Kalimantan Barat;2,31;60,86;,057377;,026786;71,18;13;7,04;7758
ID6105;Kabupaten Sanggau;Kalimantan Barat;3,23;69,41;,077869;,066964;71,42;12;7,39;8328
ID6106;Kabupaten Ketapang;Kalimantan Barat;3,06;64,44;,098361;,080357;71,11;12;7,46;9209
ID6107;Kabupaten Sintang;Kalimantan Barat;3,11;77,78;,086066;,084821;71,84;12;7,08;8708
ID6108;Kabupaten Kapuas Hulu;Kalimantan Barat;3,9;72,35;,090164;,069196;72,53;12;7,53;7168
ID6109;Kabupaten Sekadau;Kalimantan Barat;3,53;71,98;,04918;,046875;72,05;12;6,85;7462
ID6110;Kabupaten Melawi;Kalimantan Barat;2,83;72,31;,045082;,046875;72,98;11;6,91;8415
ID6111;Kabupaten Kayong Utara;Kalimantan Barat;2,51;65,53;,045082;,029018;68,48;12;6,02;7920
ID6112;Kabupaten Kubu Raya;Kalimantan Barat;3,95;67,47;,081967;,142857;70,69;14;7;8630
ID6171;Kota Pontianak;Kalimantan Barat;3,63;61,94;,081967;,118304;73,12;15;10,4;14610
ID6172;Kota Singkawang;Kalimantan Barat;3,24;64,31;,036885;,040179;72,18;13;7,9;11767
ID6201;Kotawaringin Barat;Kalimantan Tengah;5,61;70,01;,093596;,049793;70,68;12,73;8,53;13117
ID6202;Kotawaringin Timur;Kalimantan Tengah;2,1;66,57;,103448;,099585;69,9;12,85;8,15;11866
ID6203;K a p u a s;Kalimantan Tengah;4,71;70,23;,128079;,082988;68,78;12,93;7,6;11148
ID6204;Barito Selatan;Kalimantan Tengah;2,03;63,48;,059113;,095436;67,19;12,66;8,95;11492
ID6205;Barito Utara;Kalimantan Tengah;2,82;70,45;,073892;,062241;71,3;12,5;8,85;9951
ID6206;Sukamara;Kalimantan Tengah;4,74;71,82;,024631;,020747;71,56;12,13;8,09;8773
ID6207;Lamandau;Kalimantan Tengah;4,01;70,44;,054187;,045643;69,39;12,49;8,43;11234
ID6208;Seruyan;Kalimantan Tengah;2,12;71,46;,059113;,053942;69,26;12;7,96;9420
ID6209;Katingan;Kalimantan Tengah;2,9;64,38;,078818;,095436;65,87;12,81;8,68;10568
